sha256,filename,source_url,landing_page,retrieved_at,agency,cycle_start,cycle_end,note
169a3057777b9cd57b472755b0c38f9c090a82a977e7d4b7ed45502b981c5fb7,2025-2026 QAP (002).pdf,https://www.mass.gov/doc/2025-2026-lihtc-qap/download,https://www.mass.gov/info-details/low-income-housing-tax-credit-lihtc,2026-09-24,Executive Office of Housing and Livable Communities,,,"Verified by exact sha256 match via a Wayback snapshot (2026-01-10); mass.gov returns 403 to non-browser clients. Agency corrected: page 1 names EOHLC, not MassHousing."
041e7c12ede1cd391164d6a137175f03ebe1b6f72d025d6536c17b131274bb3c,2025-2026-qap.pdf,https://www.mainehousing.org/docs/default-source/development/qap/2025-2026-qap.pdf?sfvrsn=a78d9e15_2,https://www.mainehousing.org/programs-services/housing-development/developmentdetails/,2026-09-24,MaineHousing,,,Verified by exact sha256 match against the live file.
40733a18fd4e945b08f5a4f2a558549dad47e1fc3a02c5265dc68dd78ac18d0a,2027-2028-Qualified-Allocation-Plan.pdf,https://www.nhhousing.org/wp-content/uploads/2026/05/2027-2028-Qualified-Allocation-Plan-1.pdf,https://www.nhhousing.org/developer-financing/lihtc/,2026-09-24,New Hampshire Housing Finance Authority,,,Verified by exact sha256 match against the live file.
b4ff69ce1f0451ad6aaa179e5e7caa09c439b7843c304e640e3d4d95ac0cc6a1,Draft QAP for Release 5-11-2026.pdf,https://vhfa.org/sites/default/files/Draft%20QAP%20for%20Release%205-11-2026.pdf,https://vhfa.org/developers/lihtc/qap,2026-09-24,Vermont Housing Finance Agency,,,Verified by exact sha256 match. The link has since been removed from the VHFA page; found via a Wayback snapshot (2026-05-17). Agency corrected to VHFA.
9b8e6cba2fe3de34d8ccbe71aa84c879087b2ae09ef1dab4292339e92921891e,FINAL_2026_QAP.pdf,https://www.chfa.org/assets/1/19/FINAL_2026_QAP.pdf?14379=,https://www.chfa.org/developers/tax-credit-program/lihtc/,2026-09-24,Connecticut Housing Finance Authority,,,Verified by exact sha256 match against the live file.
1d41502fbb08c47c0f78183aeeddfafd696048e34a32d9d44b170c9498656044,Signed_VHFA_202024-25_20Vermont_20Qualified_20Allocation_20Plan_vf.pdf,https://vhfa.org/sites/default/files/documents/multifamily/Signed_VHFA%202024-25%20Vermont%20Qualified%20Allocation%20Plan_vf.pdf,https://vhfa.org/developers/lihtc/qap,2026-09-24,Vermont Housing Finance Agency,,,Verified by exact sha256 match. Agency corrected to VHFA.
dfefb9c9658892e876ad50d66e138eb5dede7fab8fab1d0a72e69118248f7de8,california-qap-2026.pdf,https://www.treasurer.ca.gov/sites/default/files/2026-03/regulations.pdf,https://www.treasurer.ca.gov/ctcac/programreg/regulations,2026-09-24,,,,"California has no document titled QAP: this is CTCAC's regulations, CCR Title 4 Div 17 Ch 1, adopted 2025-12-10. Competitive 9% scoring is section 10325."
3b2023d260c983f712222386724411c11abb8b82ed00a7a436c47ffa665ae2c5,colorado-qap-2025-2026.pdf,https://www.chfainfo.com/getattachment/7535845e-c0fa-4061-9bcb-60d7158ea294/2025-2026-QAP-Second-Amendment.pdf,https://www.chfainfo.com/rental-housing/housing-credit/qualified-allocation-plan,2026-09-24,,2025,2026,"Complete restated QAP as amended (Second Amendment), adopted 2025-09-26, approved by the Governor 2025-11-13. 2027-2028 exists in draft only."
b1a276d3bd3bd63272aaaa5c6b8dd455d0c61f7d9b5cc70a398c8f797643ae6a,delaware-qap-2025-2026.pdf,https://www.destatehousing.com/wp-content/uploads/2026/06/2025-2026-LIHTC-QAP.pdf,https://www.destatehousing.com/build/lihtc/,2026-09-24,,,,"Adopted 2025-01-03, updated 2026-01-07, effective with the 2026 application cycle. DSHA publishes companion Guidelines and a Map Reference Guide separately."
fd2e8d232916ba643f6b9f2de027a115c5408d7de1ecde1b081a9f1a0febe522,draft-qap-6-23-2026.pdf,https://vhfa.org/draft-qap-6-23-2026,https://vhfa.org/developers/lihtc/qap,2026-09-24,Vermont Housing Finance Agency,2027,2028,"Verified by exact sha256 match. Cycle from VHFA's own public-comment files, which label this the 2027-2028 QAP draft; the document face does not state it. This copy's text layer is garbled (Type3 font); the OCR'd twin carries the extraction."
c81c4b7324cb397a583b79d667ec30796516609913994b6058881cfa652080a1,florida-qap-2026.pdf,https://www.floridahousing.org/docs/default-source/programs/non-competitive/related-references-links/2026-qualified-allocation-plan.pdf?Status=Master&sfvrsn=9ddae47f_2,https://www.floridahousing.org/programs/developers-multifamily-programs/competitive/qualified-allocation-plan-(qap),2026-09-24,,,,"Four pages; delegates selection to RFAs. Florida's competitive scoring is in the individual RFAs, not the QAP. Text layer repeats each line 3-8 times."
7bd02b7cd19f4fbe4c7208463a8eee417cc1ef4570cd954740dc6176f2e0a258,georgia-qap-2026-2027.pdf,https://dca.georgia.gov/document/document/2026-2027-qap-amended-board-approved-8-12-26/download,https://dca.georgia.gov/affordable-housing/housing-development/housing-tax-credit-program/qualified-allocation-plans-and,2026-09-24,,,,"Amended version, board approved 2026-08-12. Amendment status comes from the DCA page label, not the document face; it is 126pp vs the original's 125pp."
792302fdff98fcb1652eba3fae84218f2943582a7e20880a8f2443df3d96c4cf,illinois-qap-2027-2028.pdf,https://www.ihda.org/wp-content/uploads/2026/08/State-of-Illinois-2027-2028-Qualified-Allocation-Plan.pdf,https://www.ihda.org/developers/qap/,2026-09-24,,,,Board approved 2026-07-24; supersedes the 2026 QAP. The City of Chicago allocates separately and publishes its own QAP.
baf4e0e087db44541976e05e2727dd3a571d65a5aa58fc6126fc6e6d540401ed,maryland-qap-2026.pdf,https://dhcd.maryland.gov/HousingDevelopment/Documents/rhf/2026-Qualified-Allocation-Plan.pdf,https://dhcd.maryland.gov/housing/multifamily-document-library,2026-09-24,,,,"Effective 2026-04-08, approved by the Governor. The host sits behind a Cloudflare challenge: plain curl returns 403 and browser headers are needed to re-fetch."
a7974b314b9312a1b88ea1348edcfb6adf01fab9121cc058391fd9ea45520aac,michigan-qap-2026-2027.pdf,https://www.michigan.gov/mshda/-/media/Project/Websites/mshda/developers/lihtc/assets/liqap/mshda_li_qap_2026_2027_qap_final.pdf,https://www.michigan.gov/mshda/developers/lihtc/lihtc/qualified-allocation-plan,2026-09-24,,,,Approved by the Governor 2025-07-09. Scoring criteria are NOT in this document; see michigan-scoring-criteria-2026-2027.pdf. michigan.gov blocks non-browser user agents.
b990a6c38afd2106db0189c25a89b950e7d6b885bf72009e5fb905779ac085ab,michigan-scoring-criteria-2026-2027.pdf,https://www.michigan.gov/mshda/-/media/Project/Websites/mshda/developers/lihtc/assets/liqap/mshda_li_qap_2026_2027_score_sum_final_pdf.pdf,https://www.michigan.gov/mshda/developers/lihtc/lihtc/qualified-allocation-plan,2026-09-24,,,,"2026-2027 LIHTC Scoring Criteria, the companion document holding Michigan's point allocations."
